 , , F, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths
EH	0	ENTIRE	502.0	2097.0	2838.9	234.2	136.4	425.0	48.575	48.538	48.65	0.112	24	6	4	2	3	0			519.0	2115.6	494.9	2094.2	459.3	2076.7	470.2	2060.2	456.3	2002.1	T	R	['EH0', 'N', 'T', 'EH0', 'R']	3	5	[2164.197273501595, 3204.018959689613],[401.02021976104805, 2181.622929130623, 3222.5102575208566],[502.0395477882854, 2096.983284684782, 2838.8703879038985, 3763.7556306762626],[521.774049731693, 1351.0354440171013, 2414.8215055937217, 3214.090674989291]	[427.50958898302946, 1098.2088562092194],[819.0747919981502, 195.1982179550938, 531.9425921985651],[234.21026659963312, 136.40453675468027, 425.04952233681234, 593.3257110966556],[573.7151981276946, 1254.4162684901319, 156.12400345387314, 205.82047317216453]
AY	0	LIFE	795.4	1830.8	3507.6	484.4	123.6	313.6	48.857	48.868	48.985	0.117	47	3	2	1	7	0			566.2	1918.7	560.8	2092.7	537.1	2212.8	510.9	2275.4	444.5	2374.3	L	F	['L', 'AY0', 'F']	1	5	[2066.481347320153],[588.524228771384, 1779.961298272318, 3526.1859683455327, 4734.538857253858],[795.371039445977, 1830.7618133000274, 3507.5842996774645, 4680.856753126636],[744.6515639905567, 1702.112209698222, 2431.346967446452, 3526.8977525663595, 4554.969351158504]	[799.9563970248787],[324.7204477697547, 165.50754892788737, 538.71448271823, 551.7161230944844],[484.3865268356023, 123.58597990098313, 313.6391296613519, 415.30596827510186],[292.067203453353, 188.0798676464174, 1478.7622614766938, 236.2609822334618, 249.75595733746627]
ER	0	THIRTY	552.2	1978.9	2760.1	156.4	297.2	459.9	49.152	49.13	49.195	0.065	94	1	4	2	3	1			541.1	2014.6	550.4	1976.7	530.4	1960.3	498.7	1973.9	447.8	2013.3	TH	D	['TH', 'ER0', 'D', 'IY0']	1	5	[576.574906914605, 2332.0149550109827, 3733.944159329516],[548.8145692428907, 2058.132607850881, 2972.492798277165, 4394.314824518109],[552.1570299878473, 1978.9275850769488, 2760.1496305394535, 3830.6272526138514],[623.1824857702486, 1937.2288472588934, 2672.8887129637665, 3614.3936299929983, 4871.142038210537]	[590.1694536190632, 486.6306969485476, 1436.6677302594983],[195.62271248896218, 398.9459063725524, 674.4376529415803, 1492.7515515037408],[156.3745391886195, 297.1801236829303, 459.8530533960784, 695.9973721705594],[117.61823748228116, 117.9736709023007, 170.14987169789234, 319.44143642606986, 567.3572126443324]
IY	0	THIRTY	439.6	2401.7	3109.3	116.9	147.2	312.2	49.239	49.215	49.288	0.073	12	0	0	0	3	0			420.0	2326.6	442.1	2416.3	441.9	2503.7	422.1	2442.1	431.8	2288.5	D		['TH', 'ER0', 'D', 'IY0']	3	5	[722.5719493305764, 2912.7869526634854],[424.2312088722885, 2439.350659963198, 3193.9939076167752, 4718.811566023352],[439.58599654640204, 2401.6520726827325, 3109.3223189451182, 4414.368332042724],[483.321326256851, 2362.5944718557434, 2994.245901086857, 3965.9318551635356]	[518.5197807113249, 551.8901680190052],[89.77442955319204, 235.32004697272328, 601.7775148700179, 703.9013006641534],[116.8766810977135, 147.24628373584852, 312.1815714547265, 601.7707375461243],[123.14874276099337, 98.20253436198925, 200.1156715844086, 458.3952597584464]
OW	0	FOUR	602.6	1315.7	2325.6	154.1	251.1	346.4	49.433	49.415	49.506	0.091	63	0	0	0	1	0			602.6	1315.7	616.3	1457.7	615.1	1621.5	605.0	1878.6	570.0	2108.1	F		['F', 'OW0']	1	6	[599.2784776516505, 1692.0221514785057],[562.8627872924164, 1759.8089864647213, 3609.357848442866],[472.4501289683098, 1180.2308971258522, 2001.8911797591784, 3447.994013196811, 4799.5604867177235],[602.5758255532752, 1315.7320124265366, 2325.571558548648, 3564.8729405478293, 4722.53180712973]	[695.6802429543777, 2372.433662712379],[423.3566872438758, 940.8080250362191, 919.3298061152606],[272.44593612569537, 591.2378525478849, 1353.5175523522153, 784.8257215823754, 1029.5729055995262],[154.09190850490077, 251.0744260777992, 346.4215012521416, 303.6532333606067, 581.8974817960452]
EH	0	YEARS	523.3	2572.2	3067.3	99.3	156.6	162.5	49.647	49.608	49.724	0.116	24	6	4	2	9	3			483.1	2685.6	530.7	2557.8	597.9	2445.3	642.2	2257.7	680.9	2127.7	Y	R	['Y', 'EH0', 'R', 'S']	1	6	[446.3765565023002, 2889.719475658706, 4880.8796174345],[448.1756647950667, 2747.2327152882276, 3140.640526315122, 4926.098064651795],[502.34196048976844, 2617.8965133623483, 3119.435958071749, 4516.957384190262],[523.2624650852142, 2572.194946397046, 3067.2883218600746, 4221.715591009251]	[384.3731305139422, 143.80236232293566, 1165.6639470612683],[85.86524507139384, 369.63371589023603, 972.9180396381032, 704.9905541838738],[129.8577520674239, 174.3335593660366, 206.37620673951514, 436.9320436474718],[99.26817186555789, 156.6238428283849, 162.4777621987224, 1065.7212731706443]
AH	0	UM	619.3	1599.5	2404.4	411.9	92.8	692.9	50.316	50.24	50.467	0.227	6	4	1	2	0	0			671.8	1645.3	617.4	1598.5	603.6	1583.7	611.5	1596.4	597.2	1518.2		M	['AH0', 'M']	0	6	[1532.7620358715765, 3526.3227147866482],[487.1192755550198, 1639.4777355826413, 3548.677170469721],[487.88902386992044, 1607.5856120298697, 2751.876590119531, 3617.7880365320448],[619.2838319167778, 1599.5464944474336, 2404.399800660882, 3547.5025481054913, 4272.5034418102305]	[241.10122625101377, 915.9322568598637],[856.8184481476326, 182.92392336987854, 293.5189039786377],[407.3954076425165, 139.08443939622495, 1605.4623272183694, 326.23719994671245],[411.8570470275461, 92.79929000727024, 692.8713818587296, 223.1240926363799, 953.2731709146705]
OW	0	BORN	626.5	1113.9	2638.7	111.1	249.7	425.2	50.675	50.657	50.733	0.076	64	6	4	2	1	0			615.9	1059.1	639.6	1198.4	651.1	1296.8	658.2	1364.7	664.6	1458.4	B	R	['B', 'OW0', 'R']	1	6	[733.8683633854587, 3107.956712121985],[574.9930096170098, 1375.9772303766215],[502.02370312067285, 852.9133709877256, 2855.7046310794412, 3532.990082772258],[626.4797154315231, 1113.8557524218375, 2638.7241764604405, 3477.6650188308336]	[183.23332425125653, 1148.49257545589],[562.9617264674514, 499.10232969175127],[351.21339885698706, 412.01348868722505, 997.1637814346526, 1156.4817876552283],[111.06650755406437, 249.65029300609223, 425.1519643598509, 360.80659570353896]
EH	0	AND	652.5	1830.5	2506.2	154.9	255.0	457.7	50.787	50.764	50.832	0.068	2	4	4	2	0	0			656.1	1831.5	651.5	1832.1	638.3	1928.8	616.0	1985.2	590.8	2061.6		N	['EH0', 'N']	0	6	[556.0196445362246, 2453.2338013414123, 4500.161588052439],[511.8781853790525, 1899.0319809856178, 2911.629192249745, 4629.546446762741],[576.4256010784179, 1775.3268417326276, 2708.2385206062777, 4137.221189768204],[652.5088452511421, 1830.4593200169509, 2506.2433816962607, 3130.2357320602237, 4580.936717258881]	[780.590785728372, 641.7887050543604, 1907.5623999439797],[218.68970467373094, 426.07777767142676, 359.09810795073355, 336.03236695846783],[353.8201903465013, 1490.1817634482818, 313.31899657579527, 280.47676295960946],[154.94899457238304, 254.9925111554065, 457.73044077612553, 237.29811405805194, 112.57799255457786]
EY	0	RAISED	638.0	2283.6	3012.5	145.7	187.0	268.1	50.964	50.952	51.058	0.106	21	3	4	2	7	3			635.8	2332.4	624.2	2393.1	572.7	2443.8	486.2	2457.6	423.7	2367.5	R	Z	['R', 'EY0', 'Z', 'D']	1	6	[768.3011509817915, 3011.0434615337554],[546.1724886881152, 2418.9449097409197, 3305.404659606203, 4626.066678661301],[572.550336581331, 2440.596682058964, 3222.556874123725, 4716.571045902449],[637.982610142323, 2283.5536517812034, 3012.548418892067, 3809.7047989063594, 4769.950257588073]	[772.994448117169, 545.6300154616331],[173.0782472097603, 407.89991572877943, 505.32380146853865, 492.31804557004597],[227.10227475723354, 141.61656935012823, 386.7691176003827, 252.24883186743577],[145.66919026336726, 186.98562197075583, 268.143992305146, 388.4730743986866, 171.13765845122313]
