 , , F, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths
AH	0	CONTROL	534.9	1862.3	2810.0	278.1	161.1	254.7	104.873	104.864	104.892	0.028	6	4	4	2	6	4			534.9	1862.3	534.9	1862.3	537.1	1853.7	553.0	1836.6	553.0	1836.6	K	N	['K', 'AH0', 'N', 'CH', 'R', 'OW0', 'L']	1	6	[1361.6093865158532, 2856.4945785980276],[541.1964854810368, 2012.2962038482042, 3101.3750215603086],[430.5446528993852, 1873.440345316114, 2775.093179890563, 3494.7424016903888],[534.858858670223, 1862.3025161395965, 2809.970345530799, 3267.0454964277874, 4715.139386121828]	[1390.3539792145052, 676.7957865699663],[352.7087291463267, 408.1415554183178, 213.6371658801917],[235.88240306630024, 383.9162996848438, 1184.7652928199946, 339.3933054145036],[278.1006365020433, 161.09043658366198, 254.7009399170634, 444.83874389235183, 150.27325420033188]
OW	0	CONTROL	714.9	1423.4	2996.2	346.4	131.7	309.4	105.041	105.026	105.089	0.063	62	5	4	2	7	0			720.6	1424.9	716.9	1409.0	691.4	1316.7	591.7	1068.1	578.8	1008.4	R	L	['K', 'AH0', 'N', 'CH', 'R', 'OW0', 'L']	5	6	[1214.357781991829, 3401.325389676123],[508.00973551123485, 1361.5149293448785, 3388.9379654910317],[527.1944073085346, 1369.0346482330654, 3134.107091299846, 4066.462617917178],[714.8703825652814, 1423.3768459491246, 2996.242123694812, 3833.8119231381943, 5129.773745475857]	[372.5360598665369, 765.104260298251],[782.1608601053434, 374.5299706409988, 454.88540431630213],[364.7460990879086, 198.83424029669354, 544.4263990356795, 807.4949889798924],[346.3927928899211, 131.66881623454677, 309.40343641154243, 400.56772562291036, 697.5881534255319]
AH	0	OF	680.9	1414.2	3307.4	337.5	386.4	150.7	105.133	105.117	105.164	0.047	6	3	2	2	0	0			678.2	1387.5	680.9	1414.2	681.2	1465.0	663.4	1502.0	629.6	1511.5		V	['AH0', 'V']	0	5	[967.1655322113011, 3528.061894286638],[623.2517965378796, 1351.3284498505375, 3321.4209167769336, 4501.414679017813],[680.9079640934714, 1414.212334995608, 3307.3550867205195, 4433.179638626854],[609.6005199607499, 1227.714242162877, 2682.0184242215782, 3570.542909908279, 4423.764560058169]	[499.8302512148823, 610.785289974244],[311.68019162066656, 384.38237701655146, 197.2971989185865, 399.9136083713336],[337.47082652342687, 386.39294581960144, 150.65674731111213, 379.83185020571943],[675.9093653751595, 303.0963415385954, 491.6559038312852, 855.8196328276202, 512.0341782759799]
AE	0	AGITATION	887.5	1956.2	3170.2	276.3	224.8	165.4	105.266	105.22	105.359	0.139	3	2	5	2	0	5			815.0	1895.9	900.6	1960.8	961.1	1974.0	908.8	1986.2	728.3	1978.6		JH	['AE0', 'JH', 'T', 'EY0', 'SH', 'AH0', 'N']	0	5	[1207.2169603998807, 3064.416984780769],[772.1766983794487, 1883.8067224179238, 3183.5903462218666, 4616.332363164883],[887.4561361621314, 1956.2402895852595, 3170.162056166131, 4433.997459437805],[890.4173930501108, 1927.6357595220366, 3003.494645696087, 3843.1279919875496]	[1063.7523951926662, 1652.464379244158],[271.1091638753796, 352.6571007830125, 291.78826785593196, 648.4154005094797],[276.34514353687797, 224.79260472397877, 165.4316515996675, 546.7438885496362],[259.49126387672857, 423.4851205845191, 1235.397440011485, 1054.4032402791856]
EY	0	AGITATION	466.5	2727.1	3506.1	170.6	251.6	723.0	105.608	105.596	105.7	0.104	21	3	5	1	3	1					1378.0	3779.5							T	SH	['AE0', 'JH', 'T', 'EY0', 'SH', 'AH0', 'N']	3	4	[2706.385476935614],[466.5101203876176, 2727.116816501898, 3506.1347590277264, 5078.840639958465],[514.9398612714915, 2678.630138642129, 3378.3247492537416, 4733.12073935694],[642.1509144040206, 2577.7308910658003, 3079.607905836098, 3736.4086340317535, 5144.300401080397]	[1045.5653607991337],[170.61117355091525, 251.56282475248662, 723.0270801434126, 586.066028955042],[363.5880372771846, 187.45149954689703, 384.7484154899445, 751.8927781369097],[254.16601730687498, 241.97993968101306, 540.7075043316657, 744.4540585504424, 783.1333136267093]
AH	0	AGITATION	658.1	2110.1	3239.6	114.1	183.8	698.5	105.873	105.841	105.937	0.096	6	4	4	2	5	0			658.8	2166.4	657.7	2100.7	648.2	2070.9	638.7	2086.0	631.4	2101.2	SH	N	['AE0', 'JH', 'T', 'EY0', 'SH', 'AH0', 'N']	5	6	[671.5600243252143, 3130.571035341443],[599.4995311397277, 2150.895475019173, 3374.932454309987, 4793.889873567791],[616.7765908860138, 2160.7393808883558, 3220.838004394183, 4437.430747675332],[658.1421663045772, 2110.1168152668074, 3239.6183248529014, 3482.5773872118734, 4884.252095579497]	[924.1914636158243, 732.8819966659016],[120.64045073744995, 355.92309847831064, 229.4705992973846, 832.9128560410646],[146.13755363082046, 880.2076742058823, 222.3086827537124, 713.8243102663141],[114.05317934983803, 183.82336296577787, 698.5184769609384, 680.5861853232412, 582.8492470285815]
EH	0	AND	741.3	1958.1	3413.6	624.1	201.7	361.2	106.583	106.562	106.624	0.062	2	4	4	2	0	0			826.8	1956.6	726.6	1957.8	662.5	1959.3	619.8	1920.5	597.9	1842.1		N	['EH0', 'N']	0	4	[1843.0758469056827, 3438.7485529050614],[741.309021943383, 1958.0943598152785, 3413.645069737572],[1019.1092431618632, 1990.7272726340232, 3360.7907323448894, 4521.8289955628015],[940.0786305322847, 1795.5438739012968, 2699.2501311447827, 3419.0141114289227]	[487.95143653622154, 1059.9093210401513],[624.1406360894849, 201.65257383037275, 361.16148747696457],[562.2899991680385, 135.05624525096883, 261.5570007538279, 1304.8654974707792],[468.8628351586287, 197.57238919982385, 1278.3290519135442, 359.96017822286746]
IY	0	THE	624.0	2589.8	3398.9	152.7	114.6	178.7	106.696	106.675	106.737	0.062	12	0	0	0	4	0			611.4	2534.0	625.2	2596.1	630.0	2639.8	622.2	2664.4	607.8	2633.2	N		['N', 'IY0']	1	5	[430.11991173143394, 2959.628313012702, 4627.334745270596],[454.1854179745032, 2651.5973888510016, 3385.953421241205, 4737.444705647002],[624.0084621883955, 2589.8240237118025, 3398.94206925294, 4598.322067186216],[632.539945277351, 2584.3553875105863, 3207.0103710025724, 4308.264393955422]	[597.3760209975276, 363.96836462493644, 542.4331985367503],[153.85622353212923, 574.6637870156305, 815.0999353777188, 383.8662945427136],[152.6718269558187, 114.55369741603037, 178.74108173188569, 198.6116855497943],[178.995538122139, 367.7725615554947, 739.4953628710974, 216.12015614625372]
AH	0	OTHER	604.7	2291.2	3293.1	267.2	199.0	182.4	106.762	106.737	106.812	0.075	6	3	3	2	0	1			549.9	2415.7	579.0	2313.8	612.2	2205.8	637.7	2094.9	613.6	2024.5		DH	['AH0', 'DH', 'AH0']	0	5	[2025.8992455079324],[576.3805217217048, 2321.8022245964976, 3373.049872104184, 4726.600349509855],[604.6993067224868, 2291.20003115819, 3293.066915838547, 4468.342469907675],[626.7967757036356, 1911.570705755057, 2936.165170586706, 3748.8473627992566]	[1562.1067371242993],[281.7762729424857, 348.2908880169079, 307.6616614244974, 446.35530238723186],[267.19552585370116, 199.02361351700657, 182.36142408533502, 439.35744502532316],[359.23502872865197, 650.2276039404858, 446.9876872018598, 1403.6130044469005]
AH	0	OTHER	523.1	1756.8	3330.3	226.1	242.7	684.8	106.863	106.85	106.888	0.038	6	0	0	0	3	0			518.5	1763.2	523.1	1756.8	544.7	1739.7	557.5	1684.0	557.5	1684.0	DH		['AH0', 'DH', 'AH0']	2	4	[1130.427057033698, 2856.0543225017072],[523.0761867903074, 1756.8439852424624, 3330.289214413472, 4491.004162408998],[613.5718188616431, 1774.004223392104, 3109.62294601995, 4276.246461409657],[562.496588213942, 1300.2627124351313, 2568.26004603787, 3702.784100452415]	[1096.8583336101556, 1144.6666913737367],[226.11019477508032, 242.71521057368847, 684.7765567539213, 698.7445359178487],[275.6693218951298, 118.77927227527042, 269.81226678121527, 287.30590718499036],[542.8859530946568, 511.21765555860924, 220.73870308795046, 769.3895767139012]
AH	0	ONE	738.2	1564.4	3085.4	459.5	259.4	408.5	106.971	106.954	107.005	0.051	6	4	4	2	9	0			762.6	1519.6	730.4	1574.8	672.9	1689.9	579.5	1789.0	520.7	1815.4	W	N	['W', 'AH0', 'N']	1	5	[1333.1765722951664, 3330.5058311790267],[639.134189533998, 1504.2250054604124, 3303.024063406262],[738.1771041381379, 1564.4402686422434, 3085.4378387117463, 3601.82014825965],[447.0523738644174, 1009.675262053283, 1652.0339862540695, 2997.547321712849, 3568.8041814331664, 5052.196573775049]	[503.9123296861862, 408.04322019122714],[737.5333348463514, 469.2686793264043, 266.30793101078154],[459.46029660802293, 259.39411163287355, 408.4903223782497, 534.42518528009],[545.3396996213353, 478.6518167374358, 209.59254740642078, 160.6091991626359, 134.8945279436536, 501.80337506274145]
IH	0	IS	602.6	2338.6	3283.1	202.9	210.2	219.4	107.092	107.047	107.183	0.136	1	3	4	2	0	0			587.6	2306.9	608.8	2345.1	616.2	2336.7	591.2	2188.3	559.7	2099.4		Z	['IH0', 'Z']	0	5	[633.1679500163395, 2983.3232258931034],[527.1614092782225, 2324.3888683516357, 3288.515359898366, 4962.641107404484],[602.5906198539174, 2338.5912348611873, 3283.0648629803663, 4671.130249847471],[616.664542227558, 2295.7455641652427, 2736.5053033165786, 3337.2397303554126, 4717.521371269298]	[709.4423099518364, 621.4957991864559],[138.91976523968827, 493.1471125201266, 459.4934610403272, 638.6632022433666],[202.90390521855258, 210.15955301441568, 219.4446160400816, 681.6818086877038],[156.36612210713452, 850.9148230537872, 1179.210245178849, 555.0981171120645, 489.9907226908644]
EY	0	A	733.8	2336.3	3186.5	168.6	200.2	159.9	107.305	107.261	107.42	0.159	22	0	0	0	0	0			721.2	2289.2	703.7	2386.8	645.5	2457.6	549.6	2566.4	534.1	2529.8			['EY0']	0	5	[2552.8139105421574, 3897.87687153313],[645.2988903372436, 2303.4750282554824, 3196.728693151001, 4948.327627741847],[733.8220685784178, 2336.2542584852827, 3186.4737083755213, 4738.131350432814],[744.515552635014, 2281.0453891802745, 3117.3336758743667, 3233.328493614501, 4814.695562660925]	[521.3277486346233, 2177.1018924987243],[137.23071625019577, 456.47209414080623, 319.37031105958323, 550.7832356347901],[168.55680857431187, 200.19410082071673, 159.94076000921135, 564.6974257104755],[79.04426832156928, 200.17587218963547, 833.0878976815975, 916.2949374256012, 499.8044940505175]
AH	0	UM	829.5	1813.4	2623.6	875.5	210.5	431.2	107.471	107.42	107.574	0.154	6	4	1	2	0	0			660.7	1948.7	857.1	1798.1	500.9	1486.2	659.5	1454.0	877.6	1478.3		M	['AH0', 'M']	0	6	[1850.7661848426155, 2994.2956084374255],[1009.0073523097345, 2292.5772109447607, 3705.6534784631453],[405.89769642517075, 1770.164707224439, 2541.383925361804, 3399.092730483715],[829.499654190421, 1813.4341001030375, 2623.57251993883, 3476.9276791434363, 4820.349283678959]	[479.37742317211087, 1044.707170157236],[828.9869666109697, 470.96419737033017, 883.3143046888068],[712.7287398063881, 304.18193511178396, 807.9713440868112, 889.0960780462789],[875.4972961301435, 210.53308335364366, 431.1601169257144, 558.2281075792478, 524.8243635189024]
AH	0	SPINAL	817.9	1513.3	2912.2	619.1	338.5	314.9	107.871	107.84	107.932	0.092	6	4	4	2	1	1			770.2	1396.0	810.2	1510.7	777.9	1450.7	760.2	1482.3	719.4	1643.8	P	N	['S', 'P', 'AH0', 'N', 'AH0', 'L']	2	5	[1306.6848251974059, 3069.2215379181157],[957.8447698817808, 1697.6970214285298, 3152.4853613924365],[817.8652872521861, 1513.2908574858604, 2912.17556504288, 3745.0583171338053],[930.5867560076449, 1568.3688152008663, 2849.623251373567, 3587.93347191442]	[400.0518209020591, 573.9965150099055],[845.4852442064583, 1223.2136531398805, 425.94325005023535],[619.0533313095507, 338.5452465736165, 314.88023387114396, 660.742822593474],[350.25249095939694, 226.36919336093405, 223.6752626110072, 352.22902278410453]
AH	0	SPINAL	705.9	1590.1	2735.2	192.5	129.6	204.5	107.97	107.96	107.99	0.03	6	5	4	2	4	0			705.9	1590.1	705.9	1590.1	716.6	1589.7	725.9	1588.6	725.9	1588.6	N	L	['S', 'P', 'AH0', 'N', 'AH0', 'L']	4	6	[1124.1941508403881, 2934.9400366664963],[563.2780226719101, 1614.8208610812171, 3002.3567203401167, 4992.911980662581],[532.9294678923352, 1520.7241742358656, 2683.2010854877904, 3149.106206506073, 4963.854750852916],[705.90238634857, 1590.0721500353484, 2735.2195057854005, 3294.529512173133, 4915.959928711459]	[861.2386559031728, 674.1010298995265],[515.5220234546773, 503.21767619095857, 247.90147781235805, 739.5100389141626],[265.3553360928434, 330.1630484452504, 1663.932128957239, 917.5508845272274, 285.3537557329907],[192.49408625371143, 129.56533758783252, 204.46636140101305, 365.5747266638932, 256.25030914320234]
AH	0	CORD	335.2	1995.4	2487.7	314.4	352.7	375.6	108.162	108.152	108.183	0.031	6	1	4	2	6	0			335.2	1995.4	335.2	1995.4	348.2	2034.6	354.7	2067.1	354.7	2067.1	K	D	['K', 'AH0', 'D']	1	5	[2307.7883627930555, 2927.3448231244784],[965.5318161016825, 2412.4961653689647, 3475.2323126708357],[335.1871765132217, 1995.361285951739, 2487.6797800660133, 3182.7074476230405, 4805.2991956266205],[457.99221892754247, 1936.4857941721632, 2443.826775748237, 2994.190146807242, 4348.08793973002]	[371.2740079155736, 1364.4430909401676],[515.5924873276297, 356.56332504744273, 586.2951931499297],[314.3914434332206, 352.7399654801242, 375.56652839800444, 343.32980654306414, 265.15799215247864],[537.9292251684487, 757.0446329697485, 459.9680265823489, 284.601063024, 264.9184689489364]
IH	0	INJURY	492.0	2247.4	3124.3	366.9	110.9	341.5	108.229	108.197	108.294	0.097	1	4	4	2	0	4			495.2	2247.8	490.6	2245.3	538.0	2244.6	616.7	2270.3	615.0	2210.2		N	['IH0', 'N', 'JH', 'R', 'IY0']	0	6	[2354.2784731994816, 3150.663185033347],[350.88740068097525, 2275.6114132518373, 3220.0557914579035, 4703.038932033809],[356.0274304249734, 2270.271343189427, 2999.4583639470484, 4302.985018350174],[492.0274227963759, 2247.4473229408504, 3124.3463188087335, 3550.4004394696303, 4812.793978641413]	[1299.1641571026569, 1085.1907187646657],[212.9185413407301, 176.55494360758232, 199.33341738873358, 639.6325779672657],[272.24295037759214, 780.8897013381256, 209.88894122117236, 510.29458130832296],[366.92677764374827, 110.91971543990327, 341.4625397156399, 803.8177991422127, 327.5820408582715]
IY	0	INJURY	385.7	2324.0	2910.5	200.4	260.1	734.5	108.539	108.494	108.63	0.136	12	0	0	0	7	0			456.5	2202.0	378.0	2354.9	356.8	2546.2	335.4	2647.8	316.0	2740.1	R		['IH0', 'N', 'JH', 'R', 'IY0']	4	5	[2500.4322846594646, 3860.2556783257232],[375.18373759377425, 2398.826930592686, 3320.227589058534, 4563.472502313136],[385.67967276842944, 2324.0069276080358, 2910.510683563465, 3729.7632907348834],[466.02314971112065, 2055.0389069780967, 2747.0868017102684, 3577.958089089657, 4721.39263079064]	[388.55350904871483, 1414.3036791844816],[425.07660130683854, 194.43331225315222, 572.2935251807593, 1249.94642694002],[200.3992377532642, 260.08213642748825, 734.4903504852756, 820.9052872401772],[323.36840825867847, 507.13142138861406, 278.9203984942432, 331.39114022561336, 714.3454230206164]
IY	0	RESEARCH	343.6	2210.0	2861.7	306.6	551.5	195.3	109.378	109.36	109.415	0.055	11	3	4	1	7	1			350.6	2155.1	342.6	2214.4	335.1	2239.4	345.8	2569.9	335.3	2546.4	R	S	['R', 'IY0', 'S', 'ER0', 'CH']	1	6	[2808.266227212077, 4757.871597791664],[310.69025915939847, 2696.9709050616657, 3165.861265315184, 4866.424939699301],[309.25420868079965, 2666.3508604487824, 2902.5468251438847, 3517.8339370637627, 4880.046734121054],[343.5531045073408, 2209.997879415131, 2861.656845541452, 3714.334602390187, 4788.823455215425]	[115.30227621775728, 909.6678424857832],[160.1139458254078, 169.99131403112722, 577.5470072197636, 346.922275005419],[95.61159825163088, 563.7810405208863, 860.1416814876898, 2680.0288578666864, 389.8576202330031],[306.63713517932734, 551.5112358357319, 195.27972310678072, 522.2072231060914, 212.53901290752233]
ER	0	RESEARCH	599.5	1905.9	2667.7	188.2	147.8	211.1	109.55	109.528	109.594	0.066	94	2	5	1	3	0			560.4	1929.0	602.5	1900.8	605.9	1896.9	593.0	1917.1	550.8	1955.5	S	CH	['R', 'IY0', 'S', 'ER0', 'CH']	3	6	[1392.0378586861368, 2610.657749925391],[518.325697772109, 1970.3234027246374, 2827.5005171929447, 4685.928933820649],[508.4850780888044, 1910.5169018634988, 2685.5140726532595, 3495.1404761996555],[599.5030356017902, 1905.8710230181546, 2667.6988690786857, 3418.3133545816236, 4822.531214492669]	[2016.5344727702684, 1498.054158585021],[231.1823773764155, 296.07708581418626, 307.7831992523334, 883.3919429624266],[178.4389465320017, 354.3149209850554, 786.052513859071, 1097.5716502567748],[188.1666265620227, 147.77734405664813, 211.0881871182186, 597.0528911663678, 324.7921445019791]
AH	0	STUDY	882.8	2055.3	2887.1	262.5	175.3	678.2	109.864	109.826	109.941	0.115	6	1	4	2	3	1			787.7	2057.8	898.5	2058.7	943.3	2064.3	892.3	2060.7	765.8	2071.7	T	D	['S', 'T', 'AH0', 'D', 'IY0']	2	6	[1708.6375475221919, 2954.1459780194236],[648.0206510665174, 2058.228632787503, 3099.0198411821702],[845.8050093982922, 2111.1416090971843, 3086.2030579534576, 4566.834909581493],[882.837096410116, 2055.302196145667, 2887.058502081087, 3415.6895980884356, 5055.612764274966]	[952.721349613266, 558.0877448525762],[511.5267301764725, 411.07388830969643, 321.7208000837445],[515.098256100887, 232.50592337165878, 191.22722435835237, 1167.9507946836475],[262.5456918906155, 175.2681298587017, 678.2388615096808, 767.3768711451687, 872.3897681283042]
IY	0	STUDY	262.6	2761.5	3378.7	247.4	138.3	418.4	110.035	109.971	110.163	0.192	12	0	0	0	3	0			355.4	2586.4	262.1	2777.2	258.5	2852.6	232.0	2818.6	290.4	2810.5	D		['S', 'T', 'AH0', 'D', 'IY0']	4	4	[2893.128053422901, 4348.92555188454],[262.64623077514835, 2761.5418797434595, 3378.654791290689, 4925.947116443193],[268.9287469844579, 2734.672897465614, 3302.6899378373164, 4790.3010789483105],[323.4813363516085, 2662.03564725647, 2904.819846887401, 3338.305872149452, 4759.366827053438]	[295.4691922586592, 1226.8065077359872],[247.42610150179894, 138.3319473933761, 418.4247118230082, 347.2949162495666],[268.10868739398995, 119.22464183075725, 293.3697131746613, 544.2406088746689],[349.5427263528369, 736.4425090184119, 1038.1524395486995, 398.6410398513061, 331.18402974440403]
IH	0	IT'S	588.2	2469.9	3245.1	182.1	202.6	332.4	113.986	113.951	114.057	0.106	1	1	4	1	0	3			598.4	2542.8	588.9	2459.9	586.4	2415.2	561.3	2415.3	518.9	2353.4		T	['IH0', 'T', 'S']	0	4	[1856.6847866283733, 3077.9367520185024],[588.2219802994115, 2469.9029402542697, 3245.1072069421166, 4917.330252073147],[599.8366591096178, 2426.2591223720574, 3006.4033544772183, 3967.423106159283],[614.7273510578839, 2403.7156398918664, 2591.1742370254365, 3282.828814373223, 4733.225219811116]	[654.4234989632773, 1650.1448356234216],[182.11233766340914, 202.63859669734265, 332.42640018318025, 839.0524802742614],[171.4468738848621, 774.5719070967644, 1297.4877292107233, 615.3361086661295],[154.61466413917688, 865.4810019896136, 1161.1488987253094, 264.56109070341444, 598.2199009565068]
OW	0	NO	633.1	2065.7	2549.6	280.1	173.8	1629.4	115.482	115.464	115.597	0.133	63	0	0	0	4	0			738.5	2082.5	714.8	1760.9	634.3	1539.1	669.0	1435.2	563.1	1228.3	N		['N', 'OW0']	1	6	[1409.639127830059, 3299.4063245514303],[600.0821731947777, 2113.8798545939576, 3375.157020179309],[588.3850258243402, 2097.1987240105036, 3348.193213357131, 4241.05242905206],[633.0755010950776, 2065.7474250784476, 2549.6047930502305, 3356.544950404666, 4392.935448267371]	[897.4732826155206, 899.1548154484815],[671.2743443624124, 342.23044484604026, 162.00062394261187],[430.6211628359135, 147.9089635690797, 131.32718574758528, 926.7595257402945],[280.08815678394984, 173.76876354875077, 1629.4074967925567, 112.58449403616363, 517.4057026988129]
AH	0	IT'S	552.9	1481.9	2932.4	196.4	193.6	96.2	115.624	115.597	115.677	0.08	6	1	4	1	0	3			556.3	1362.2	550.9	1492.2	540.1	1639.4	523.3	1851.5	471.6	1991.6		T	['AH0', 'T', 'S']	0	6	[770.6282840230057, 3176.2480041645636],[574.1973964534498, 1277.174027065714, 3176.6691635269253, 4422.884693371216],[478.0959419727869, 1360.6744098449344, 2928.327080857717, 3692.976690351573],[552.8735885158023, 1481.941886625714, 2932.3879885481233, 3684.1056114418675, 4934.95614336328]	[649.5043832709223, 1180.612510411918],[552.4937661256282, 1684.658780067502, 412.290063632634, 1390.3644046743411],[124.6698144335208, 257.79970664138034, 307.04437553683994, 456.081496581646],[196.3788369266389, 193.56834545656204, 96.24482185079677, 140.77955881810237, 389.3874210736103]
EY	0	A	631.9	2407.7	2916.1	263.8	194.1	1241.6	115.858	115.819	116.026	0.207	22	0	0	0	0	0			577.2	2280.2	598.4	2403.2	507.5	2503.9	491.2	2563.9	430.2	2607.9			['EY0']	0	6	[2839.9539321392413],[533.286575825188, 2219.2749305963675, 3250.5756227661973, 4949.578701428309],[600.283794891571, 2399.4432953143473, 3297.667282868076, 4893.980428242732],[631.8916545098732, 2407.71646480291, 2916.1107799229185, 3521.1061530949, 4869.504104418677]	[508.12734387169604],[161.47131760082792, 264.85299692264095, 190.75805661956502, 272.48830198477725],[276.94756897650893, 167.78243866232748, 223.72998297863248, 531.4455518727259],[263.7683373827455, 194.11246926279063, 1241.5878826822152, 593.3935623941054, 352.139285663044]
AH	0	UH	1003.3	1865.3	2962.4	567.7	114.1	230.5	116.116	116.026	116.297	0.271	6	0	0	0	0	0			913.1	1979.1	1015.3	1844.5	1072.5	1796.5	1035.3	1739.7	907.1	1725.4			['AH0']	0	6	[1738.3597144755595, 3284.709355942844],[929.5844559159617, 2223.70731562225, 3498.217541860336],[722.6627747057008, 1873.7094082939004, 3057.16995568391, 4434.7751084426545],[1003.2798346047229, 1865.3338009867327, 2962.4264972524716, 3895.464740591672, 4866.1808643647955]	[582.0588999941915, 1013.4889821176438],[701.9527377051304, 375.76398399740987, 482.3982366889828],[938.5158129905292, 227.94113724458373, 317.2188226344923, 607.7600398242985],[567.6877447020281, 114.14483080087794, 230.47875434687984, 623.4572663522802, 662.1827297305421]
AH	0	CLINICAL	621.4	1654.3	2750.1	133.7	187.6	616.7	116.953	116.94	116.98	0.04	6	1	6	1	4	1			618.8	1647.3	623.5	1661.4	626.9	1700.4	623.4	1730.7	622.9	1735.3	N	K	['K', 'L', 'AH0', 'N', 'AH0', 'K', 'AH0', 'L']	4	6	[950.3908433768335, 3011.667823108207],[496.68323391333075, 1628.7531424606123, 3193.464834506773],[541.1884597142481, 1725.9676293692453, 2994.7386810332273, 4355.795363363929],[621.3945681098877, 1654.3010895891723, 2750.133473821852, 3335.137018904892, 4786.282232555792]	[735.6041782453084, 1154.4397180724643],[270.21113903014634, 655.8000069800969, 426.00394088265153],[264.60600649726035, 406.59872158030487, 968.1838788950456, 859.6897025735171],[133.74755297029537, 187.62264637647783, 616.7384896747009, 324.1421580300251, 437.7431357307318]
AH	0	CLINICAL	566.5	1266.4	3362.1	479.7	414.7	714.4	117.081	117.064	117.114	0.05	6	5	4	2	6	0			554.7	1270.0	570.4	1267.2	587.1	1281.8	591.3	1316.8	591.6	1338.7	K	L	['K', 'L', 'AH0', 'N', 'AH0', 'K', 'AH0', 'L']	6	5	[988.2265945771427, 3435.000158635574],[564.2901371228663, 1312.6668708448083, 3474.6708331143345],[566.4809294494713, 1266.4100803618537, 3362.050970088303],[495.02841160511167, 1056.601249339922, 2127.2796616231335, 3513.4619784764036, 4441.712318360402]	[366.90375721716987, 495.2333239947786],[542.5124268859504, 460.64026490177537, 271.90112990119417],[479.7053969649589, 414.71974013190584, 714.4072174023479],[862.5019792887936, 501.46876793016435, 533.4217207142763, 413.6017097283187, 665.8610323748286]
AH	0	STUDY	794.1	2071.3	3362.6	228.5	319.9	201.7	117.338	117.306	117.403	0.097	6	1	4	2	3	1			735.3	2051.0	799.7	2074.7	823.1	2140.4	792.9	2173.3	694.6	1953.9	T	D	['S', 'T', 'AH0', 'D', 'IY0']	2	5	[897.4808986720557, 3116.1266371558927],[708.3000248959071, 1955.996564739791, 3357.4569254792896],[794.0945108791609, 2071.269613275131, 3362.6039845727587, 5057.678228742579],[807.725051046744, 1978.3784329632458, 2987.541379064336, 3547.613990926992]	[744.8861430685481, 770.8896080287532],[195.00086923369602, 508.6976882310204, 344.63023512043395],[228.46684586631807, 319.86561080984944, 201.65268235890844, 1011.6125566680028],[137.6953146287139, 545.229518406461, 948.65547787289, 745.1541253639284]
IY	0	STUDY	438.1	2706.4	3397.8	209.2	224.9	266.1	117.479	117.433	117.571	0.138	12	0	0	0	3	0			522.1	2562.5	431.0	2715.9	387.5	2745.1	381.2	2622.1	370.1	1999.4	D		['S', 'T', 'AH0', 'D', 'IY0']	4	5	[2102.2494087662535, 4308.925307110846],[410.04457095388796, 2728.7433992230294, 3418.7475763920124, 5022.54766453571],[438.14254066990077, 2706.410317498607, 3397.7721814475162, 4878.19444049226],[489.10587468412007, 2651.4655416367195, 3241.471440806311, 3693.2234130834368, 5002.104714807539]	[412.73206876989025, 1032.4897374753293],[140.68459009016556, 374.6506173193535, 407.0085211582142, 496.012308162175],[209.2082693648176, 224.94564782404433, 266.1085012539998, 640.0245211680646],[220.80611289694411, 390.245493288688, 730.6724747025337, 1127.8938843489614, 461.5139332962822]
EH	0	WHERE	414.1	1724.4	2609.4	147.3	120.6	340.3	117.701	117.673	117.758	0.085	24	6	4	2	9	0			398.0	1617.5	417.3	1743.0	441.4	1807.2	478.7	1794.0	489.3	1759.7	W	R	['W', 'EH0', 'R']	1	5	[1934.2683123109277, 3078.8526368096955],[337.93741463485344, 1838.7690142481524, 2939.8873786820345, 4871.6340564487755],[414.11860456846955, 1724.4303626167741, 2609.3752364928905, 3735.014100335213],[423.48801604611043, 1085.6141834595383, 2012.6592365864253, 3022.9278806530333, 4174.590152010672]	[608.9737912890316, 3003.0706412154004],[769.7467169592446, 341.47370742910323, 662.5681611935931, 636.8555516705591],[147.30921757363774, 120.63846893326543, 340.3194905048999, 786.7196958836607],[618.5367755943944, 1550.797717358341, 110.63858978168675, 185.37521727832686, 214.20188083253302]
ER	0	WE'RE	438.5	1711.9	2145.8	180.7	188.8	333.8	117.91	117.892	117.946	0.054	94	0	0	0	9	0			449.3	1640.6	436.3	1724.0	415.6	1810.5	393.0	1887.2	367.7	1950.2	W		['W', 'ER0']	1	5	[1350.2728733059369, 3110.0140575716937],[691.9416914450121, 1863.964552941674, 3355.705780855287],[438.4700377202046, 1711.9256262568542, 2145.829441082923, 3546.523361439],[502.5319120189236, 1748.268885749641, 2249.402476300298, 3566.161625250902, 4794.185005807556]	[564.2257638091004, 775.4914215022661],[1466.6878852911316, 170.46210870694088, 1007.068505622449],[180.69924738386402, 188.78468438205095, 333.79954910595086, 285.6411008514213],[338.76207758680425, 115.63209929910025, 256.093809414577, 161.7071844794159, 561.2168135889742]
