 , , F, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths
AH	1	UH	870.2	1444.9	3066.3	242.1	304.6	614.7	2.133	2.086	2.226	0.14	6	0	0	0	0	0			835.0	1503.6	863.0	1443.0	788.6	1499.8	796.5	1565.5	821.6	1561.2			['AH1']	0	5	[1122.719876717448, 2185.823299447243, 4479.137958818033],[1006.0462907370744, 1539.1376231329436, 3658.9477120944966, 4577.694540299413],[870.1825059804426, 1444.9197506171163, 3066.2967155770016, 4422.6011672593295],[823.6360297548345, 1179.0851246945253, 1543.7809899741155, 3088.6742483667767, 4347.03409726875]	[318.38850017619353, 2984.595411875313, 562.3467770756819],[361.8387704880164, 1142.362145352982, 1571.1204421025247, 507.45741491973655],[242.07554840741975, 304.6116567492816, 614.6818296252327, 275.48180435938445],[1010.0181120291484, 1194.7136478317586, 579.3471937754414, 349.74291329645973, 226.12543048331636]	removed	unallowed
AE	1	HAPPY	982.8	1525.6	2953.6	163.3	197.2	424.8	2.919	2.892	2.973	0.081	3	1	1	1	0	1			976.5	1427.7	981.1	1531.4	956.7	1582.5	960.6	1687.8	963.5	1721.1	HH	P	['HH', 'AE1', 'P', 'IY0']	1	5	[1168.893861932781, 2097.2048755384308, 4301.934569654579],[1019.7011658526695, 1542.2215713494118, 3044.6255930189504, 4584.013290877156],[982.7819065930296, 1525.5993665875626, 2953.582744438353, 4262.3456449410305],[891.9603300285249, 1369.3591162257167, 1866.880209183371, 3013.879105453288, 4324.03556289183, 4766.6376159456595]	[212.45653651249592, 1420.1915174287171, 1202.6167988308525],[209.93527574302695, 285.02984161191785, 442.29079583469763, 294.6234660303438],[163.33613298664864, 197.21764395549354, 424.772400741912, 1487.645420444197],[110.15485701116617, 203.72772123785163, 467.1168048639447, 183.26029495296956, 465.57041743156844, 699.8287081662247]	removed	unallowed
IY	0	HAPPY	534.9	2501.9	3689.7	88.3	461.6	538.7	3.196	3.123	3.342	0.219	12	0	0	0	1	0			529.4	2533.4	534.7	2499.7	554.5	2694.6	1233.3	2887.2	802.4	2469.8	P		['HH', 'AE1', 'P', 'IY0']	3	4	[557.0151725565129, 3062.6909808536216, 4418.552906963135],[534.8525846222823, 2501.8984953443783, 3689.7251811373794, 4731.083386594149],[530.8647579253509, 2089.9569834330387, 2892.258916115413, 4023.2671537116425],[506.31527687717653, 1236.0600485689151, 2498.6946611500603, 3337.6728776054424, 4056.8208365396113, 4892.417373353889]	[420.65933691616556, 620.2376679258907, 750.4852213593168],[88.27887854467852, 461.6410949319793, 538.6547587777856, 924.1066040695044],[81.98566870216501, 1970.1600720811082, 356.3190114524273, 369.2267653310961],[34.304655613380724, 404.41831593890436, 131.72165590215522, 239.17348083917378, 226.22711544684222, 174.91723597698535]	removed	unallowed
AE	1	ACTUALLY	1115.5	2106.4	3037.4	101.8	843.3	1269.0	3.369	3.342	3.422	0.08	3	1	6	1	0	5			1058.6	2154.0	1119.5	2088.7	1128.5	1785.2	1123.3	1556.5	1030.1	1806.5		K	['AE1', 'K', 'SH', 'AH0', 'L', 'IY0']	0	4	[1168.086295298055, 2454.491086042042, 5004.298043229998],[1115.544905451151, 2106.4320066673004, 3037.3766722336195, 5016.462745436605],[1107.86199405173, 1932.5576268363816, 2770.5521848222083, 4127.069111944253],[992.0696516757166, 1621.307206257652, 2280.4264952271897, 3335.448988877281, 4788.450833750048]	[184.2122594281159, 739.3460730137074, 1094.3211933326215],[101.75621279913611, 843.3131720229583, 1268.9959375299813, 649.113599663214],[452.75307130806885, 901.5688733353596, 1166.8177659219375, 884.0080088938308],[408.4668611269704, 706.5542915516234, 506.4368068932388, 573.168819585353, 767.9119875249813]	removed	unallowed
AH	0	ACTUALLY	411.0	1979.7	2829.1	523.8	163.5	1275.9	3.692	3.662	3.752	0.09	6	5	4	2	5	1			396.4	1960.9	414.4	1978.3	517.9	1930.6	641.1	1884.3	627.6	1859.0	SH	L	['AE1', 'K', 'SH', 'AH0', 'L', 'IY0']	3	5	[2131.4295118884675, 3649.0207576176604],[297.3651154269299, 2009.4043404185338, 3053.7623790341313, 4530.526769880052],[410.9990468233689, 1979.6579478796373, 2829.1004010553584, 3135.8540219181946, 4576.716498430965],[380.7124430548685, 1700.3746585512342, 2031.2882695347603, 3006.4560563269097, 3800.5899546006694, 4620.534758129483]	[438.0439506994641, 1397.7546214704544],[988.5591713650366, 150.53453447007746, 258.7831971317683, 228.7919446874898],[523.7961376182527, 163.4720622681399, 1275.8769278588438, 739.8759687736056, 156.5403055820316],[423.2044812854347, 1224.8462344555678, 170.18396364472144, 272.17029577296466, 758.8722740129991, 124.02222352306076]	removed	unallowed
IY	0	ACTUALLY	619.9	2614.7	3817.2	559.6	100.3	743.2	3.889	3.782	4.103	0.321	12	0	0	0	7	0			572.2	2612.3	624.3	2620.7	747.4	2696.1	620.9	2560.8	564.5	2467.8	L		['AE1', 'K', 'SH', 'AH0', 'L', 'IY0']	5	4	[2107.136616441775, 3810.351356453211],[619.9025472828257, 2614.7209772705537, 3817.168571733541],[654.7175182012236, 2594.5295008818207, 2976.7283245097356, 4051.921376657135],[563.7818045588779, 1575.8135347984762, 2602.4401314611287, 3245.805327406494, 4138.718347467527]	[461.67481961858806, 729.2776093406392],[559.5902518923104, 100.26436899098448, 743.1645461536519],[477.19669964059585, 143.73437569417052, 1004.373050383772, 415.3155926565575],[346.10693148350214, 1550.7746958095263, 96.9748686211215, 697.8979306590002, 328.44866921542496]	removed	unallowed
AY	1	I'M	912.6	1341.6	2345.7	811.6	269.6	609.9	4.384	4.331	4.451	0.12	41	4	1	2	0	0		m	927.3	1297.6	908.9	1392.4	879.2	1165.0	834.0	1170.3	739.4	1255.3		M	['AY1', 'M']	0	6	[1082.9322017875936, 2827.7037384672913, 3887.4106753930473],[1014.1440473892424, 1536.5825497555984, 3176.6920462422177, 4301.245197840248],[1031.651326437238, 1550.2001010997442, 3014.7609170271435, 4081.2680058852434],[912.5572789723906, 1341.5905706180213, 2345.6891766147205, 3463.488583895088, 4258.888686289161]	[188.1525702690684, 1589.1642393030822, 880.7146828387363],[209.36015648078342, 868.9202295914682, 320.4000407324237, 305.9617721466978],[176.26839808107215, 846.6528821642946, 1184.7341141297784, 689.4753115625921],[811.6162134644952, 269.636812121119, 609.8934011233939, 604.7486789509757, 641.9077359587595]	removed	unallowed
EH	1	VERY	867.0	1566.5	2664.3	132.9	328.4	795.4	4.594	4.561	4.661	0.1	2	6	4	2	1	1			816.0	1509.8	872.6	1572.2	879.5	1595.1	891.4	1585.2	896.4	1614.2	V	R	['V', 'EH1', 'R', 'IY0']	1	5	[1037.1641954319086, 2283.9938101683533],[896.3155614669404, 1660.3172143516836, 2734.6331281849734, 4813.580034022022],[866.9664568475051, 1566.546069854755, 2664.260105219457, 2941.974477699319, 4843.0768113586455],[813.4443610961144, 1357.7974093582275, 1969.156023701545, 2765.698650426074, 3978.9477566998235, 4884.823628059066]	[291.21091069079455, 709.8034504240761],[159.29797438459514, 359.0998285733495, 303.8222149320721, 292.9576333082455],[132.87367225038818, 328.3865747458018, 795.3854675220142, 1406.7160500324865, 201.0132004229695],[95.7508835926918, 286.7402423701393, 445.75411087150724, 205.2708428464691, 844.6124853729519, 141.71957920201942]	removed	unallowed
IY	0	VERY	838.3	2480.7	3100.2	231.7	373.1	2218.7	4.77	4.75	4.81	0.06	12	0	0	0	7	0			834.8	2392.8	838.2	2486.0	839.0	2480.3	817.3	2494.7	781.4	2461.0	R		['V', 'EH1', 'R', 'IY0']	3	4	[885.5404686549638, 2570.884140348025, 4584.218795445518],[838.2868245060835, 2480.7489352494486, 3100.1674187304056, 4662.809024924013],[901.7836327115829, 2398.733395162177, 3053.1243722047725, 4541.245864123972],[709.0014968117686, 1386.0715564269015, 2555.465379990385, 3448.844994612502, 4593.606538727998]	[376.59602732565395, 308.39006196841126, 706.035894794482],[231.7485406454427, 373.0898410311604, 2218.6602542492124, 715.6466402888409],[189.34403572436648, 273.11459913423425, 736.4379918705704, 500.0753222535254],[761.0732469435545, 302.6985416877633, 258.59665168398357, 554.4366763275499, 607.9069098826275]	removed	unallowed
AE	1	HAPPY	872.7	1348.0	1910.3	161.8	192.7	256.3	4.937	4.92	4.97	0.05	3	1	1	1	0	1			866.9	1338.3	873.7	1348.7	879.3	1322.3	865.7	1207.1	813.7	1097.8	HH	P	['HH', 'AE1', 'P', 'IY0']	1	6	[1222.0390295325747, 2059.1412521316465],[1071.584888454661, 1634.9146128216278, 3097.359838923784, 4849.151675382166],[1035.2853562297094, 1582.7352690323671, 2827.785849835067, 4244.844220834323],[872.7163558791163, 1347.9919230725834, 1910.2701113413548, 3042.642900173157, 4291.10606700659, 5065.0863130821435]	[277.41135101466233, 1192.991012151029],[247.4091382929034, 411.6984533682776, 923.9872844398249, 616.3201804606585],[225.31581804235884, 294.3249291873733, 775.53294345147, 1402.8053096492758],[161.80952752009824, 192.6711102122515, 256.265186071667, 277.98077855184505, 539.4643796541194, 533.2036820127037]	removed	unallowed
