 , , M, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths	plotmish - changed	plotmish - removed	plotmish - note	plotmish - annotator				
IH	1	WITH	465.0	1660.7	3125.0	314.6	431.7	109.6	38.635	38.625	38.654	0.029	1	3	3	1	9	0			465.0	1660.7	465.0	1660.7	462.9	1673.4	455.3	1703.4	455.3	1703.4	W	TH	['W', 'IH1', 'TH']	1	4	[899.3654231088897, 2626.447898421503],[464.99781705276195, 1660.6964676429375, 3125.0297045908433],[428.71663065797605, 1421.8638656553314, 2352.1416265604425, 3153.641499161352, 4415.6750360549395],[425.36422964248965, 1399.7860245357701, 2258.521913982053, 2829.2730496396875, 3463.3086949963354]	[785.6114534859184, 692.2236935508964],[314.5637453851556, 431.65160606962183, 109.55256476258255],[58.01819345081903, 150.2148874444698, 378.20142618685975, 49.20195174164556, 562.0580081193395],[43.829068182275385, 149.2948444503614, 489.5268096412718, 1533.2190076132306, 275.95241649010126]				
IY	1	ME	332.5	2182.3	3110.3	331.6	256.9	397.3	38.835	38.785	38.935	0.15	12	0	0	0	2	0			319.3	2131.9	331.5	2188.0	332.3	2202.4	284.2	2153.7	339.4	2032.9	M		['M', 'IY1']	1	4	[2260.9282630754155, 3076.2521762312685],[332.49061455512026, 2182.341049284708, 3110.292174237824],[333.51702584023735, 2099.7367598817787, 2651.6934139433, 3208.467100728721],[344.76805256850764, 1340.6564158564738, 2365.3311136998327, 3016.5000992903883, 3871.412751646688]	[1287.6673207253698, 953.0916729939257],[331.62113882255596, 256.87125059341355, 397.2798387433246],[196.4639392135566, 396.7381612776444, 1361.460896531537, 750.9046146491607],[380.70616303758334, 1312.738685201176, 346.4746984921327, 408.7746327076797, 390.67866570647084]				
AH	1	BUT	634.8	1456.6	3032.2	234.7	309.1	300.9	39.088	39.045	39.175	0.13	6	1	4	1	1	0			600.2	1440.5	639.6	1465.6	679.0	1507.9	718.1	1364.4	681.8	1409.2	B	T	['B', 'AH1', 'T']	1	4	[1059.539784186442, 3041.609790796867],[634.8285050614578, 1456.5908628236323, 3032.1647229465875, 4520.191628546466],[593.1590149523093, 1367.5380298374187, 2616.155691786751, 3342.900479039372],[588.0355222095374, 1356.211422794065, 1930.2052103041767, 2717.1404854240036, 3426.8940395194536, 4672.340768561673]	[494.0653102402471, 882.30098695528],[234.74563417599944, 309.1445092468173, 300.91259651306825, 1047.0867587283067],[42.30814223788291, 69.34587653370134, 353.7266168170593, 366.9488209721131],[34.37155520132747, 86.02152041551277, 1587.5435883109678, 316.91583833203447, 283.3701456638915, 378.5134204398834]				
IH	1	WHICH	437.6	1653.0	2429.6	86.3	339.8	216.4	39.275	39.265	39.295	0.03	1	2	5	1	9	0			437.6	1653.0	437.6	1653.0	435.7	1685.0	434.1	1715.7	434.1	1715.7	W	CH	['W', 'IH1', 'CH']	1	5	[807.4543553819124, 2517.3700672231316],[510.64355583378625, 2202.6035859511244, 3178.2087632226985],[437.590704016281, 1652.9529814164184, 2429.6131151191, 3217.968396856293, 4492.433543070524],[435.4033987463254, 1634.1686523040369, 2345.943831107546, 2679.0979273911153, 3594.8173032250866]	[1237.228875744342, 922.7005560693298],[491.9364621381185, 351.7286351422036, 200.51752775570404],[86.27639147740553, 339.8304082742956, 216.37858023942945, 87.96388639551816, 692.8201603549602],[78.27295081817628, 339.81498469523905, 1973.8807263042672, 186.93084227897998, 220.8453404755533]				
AY	1	I	594.0	1545.6	2663.7	93.7	153.3	522.3	39.387	39.365	39.445	0.08	41	0	0	0	0	0		m	589.3	1551.6	589.2	1541.8	565.6	1548.5	546.8	1554.3	513.2	1533.5			['AY1']	0	5	[1261.9545123165003, 3081.347693870219],[773.5215102110618, 2000.8539910750771, 3276.40189074572],[594.0250942378357, 1545.5547332296267, 2663.7353290802002, 3357.476902912407],[577.0453298715366, 1491.5924392913976, 1679.316289292221, 2773.4511248524313, 3423.4849486825174, 4648.534563063509]	[868.0354738091949, 895.3577495325112],[413.69292632411043, 683.6258990129664, 521.3759818551727],[93.73584089179305, 153.2818264649192, 522.2896555590694, 419.19720638454464],[70.4035193057683, 504.0100757903051, 655.4431659038128, 252.1571044997778, 207.7691441649796, 438.1815624478224]				
OW	1	DON'T	550.2	1494.0	2250.9	85.6	201.0	1216.4	39.516	39.495	39.634	0.139	62	4	4	2	3	0			561.1	1449.6	562.5	1225.4	501.2	964.5	487.8	976.0	512.5	976.9	D	N	['D', 'OW1', 'N']	1	6	[1104.9357632846818, 2451.3613989213973],[831.3392309746181, 1853.5859673025566, 3310.474934305985],[566.3516892389666, 1406.143809307224, 2894.648424531581, 3345.168535697443],[550.236421827364, 1494.0403957939802, 2250.926878835705, 3106.6593626709214, 3555.3577049376054]	[1016.0063594418488, 1295.282303999852],[902.3333327199072, 736.1525213237339, 476.2189928091297],[104.72963707277908, 303.81481180453784, 620.9842067944669, 331.9713307189462],[85.64314276031055, 200.97060175154647, 1216.426411126527, 443.5841357060559, 613.7609651365779]				
AE	1	HAVE	688.4	1673.4	2565.6	153.1	209.0	297.5	39.758	39.715	39.844	0.129	3	3	2	2	0	0			644.2	1670.1	692.1	1676.8	693.2	1673.8	659.3	1588.6	627.3	1505.6	HH	V	['HH', 'AE1', 'V']	1	5	[846.028929845787, 2121.3508922850165],[729.2419518566717, 1847.1305497404728, 3004.083718616796],[688.4404496902504, 1673.3878386642782, 2565.560644653659, 3490.024849567805],[680.6713828141166, 1502.314848825831, 2338.528671568183, 3050.9109840301708]	[695.5481999858857, 752.5477276312516],[325.4087018432716, 515.5710579507448, 734.5793774189962],[153.09999630402206, 208.97821444514815, 297.45679059164917, 170.3826516523736],[381.94748782861615, 384.0200304221112, 354.7316022995548, 1420.7400574588971]				
EH	1	THEY'RE	466.4	1661.3	2465.4	64.5	205.7	500.1	39.985	39.965	40.025	0.06	24	6	4	2	3	0			441.5	1670.1	469.7	1656.8	501.7	1612.2	523.8	1566.8	531.6	1553.8	DH	R	['DH', 'EH1', 'R']	1	6	[477.44172828886286, 2112.5185799198166, 3307.60256298116],[475.5124161673716, 1863.6179096425394, 3201.2407295048347],[458.6510934865791, 1684.33961000405, 2539.9236862326024, 3276.652462525827],[466.38861187716253, 1661.3496621949505, 2465.4071543621017, 3243.42426933301, 3897.0618686281123]	[636.5729449914429, 967.8082307162898, 288.4158844854644],[150.87792225744727, 321.0182448590711, 229.7980788229439],[60.67858044260353, 302.9573349109347, 763.9345447893932, 178.15409339999493],[64.54245861235455, 205.6748802846584, 500.0975815873603, 155.23657951779907, 1071.4300155475044]				
AH	0	IN	436.7	1667.2	2509.9	150.2	349.4	376.7	40.064	40.054	40.085	0.031	6	4	4	2	0	0			436.7	1667.2	436.7	1667.2	421.3	1664.8	409.4	1660.7	409.4	1660.7		N	['AH0', 'N']	0	5	[860.2362025708698, 2543.7703224389156],[492.5802864885009, 2092.2522760970414, 3260.718500549393],[436.72212602770173, 1667.2364118602663, 2509.876600735637, 3381.814479663388],[466.93075992948803, 1580.2404940822692, 2390.600571963443, 3244.7172007547756]	[1047.7675838729085, 706.1352476268465],[716.2962854474197, 541.7451660206491, 875.8755251846596],[150.16765335269494, 349.36287232558186, 376.6841039653256, 137.93477591045286],[190.91213468885636, 565.8619643212821, 252.3763613355899, 343.5052769993419]				
AH	0	THE	430.8	1496.9	2525.3	89.7	95.4	192.3	40.165	40.155	40.184	0.029	6	0	0	0	3	0			430.8	1496.9	430.8	1496.9	428.6	1494.8	416.0	1489.6	416.0	1489.6	DH		['DH', 'AH0']	1	5	[1482.0517454959254, 3101.6089943401953],[833.0450779208269, 1788.3158886209412, 3191.9641286634114],[430.77921813901776, 1496.9416369126325, 2525.257549165662, 3411.3384540846596],[445.72799731930155, 1514.5484279725765, 2532.1966189908703, 3399.1787092671507]	[904.7011372446077, 805.1134607516531],[1581.9898351230054, 988.8498848540409, 513.1148103156318],[89.65491413333382, 95.37350633479471, 192.31039808179514, 139.91866364745084],[131.07452087350543, 80.29662297566443, 126.26325312478244, 101.86072664699765]				
AE	1	BATHROOM	630.1	1647.8	2903.0	70.7	234.0	553.4	40.295	40.245	40.394	0.149	33	3	3	1	1	1			608.8	1672.8	633.8	1643.6	672.4	1609.0	679.5	1565.0	649.7	1544.0	B	TH	['B', 'AE1', 'TH', 'R', 'UW2', 'M']	1	4	[699.5254597602486, 2030.7704287339573],[630.1011828547752, 1647.7997606225047, 2902.993373928094],[633.1735997162434, 1606.520964088063, 2485.137262429098, 3805.4060208235505],[575.2342673145013, 954.3948499231842, 1895.4575162797978, 2829.1636751517917, 3774.978076198577]	[316.9410706745842, 758.1148941484073],[70.70643482396372, 234.0380336826586, 553.4477845397321],[69.15699703964235, 1000.3037777961504, 672.9981238189223, 889.2723487163711],[501.6094671123379, 571.5928279191111, 237.4292815434645, 270.6842908125084, 308.86118025254393]				
UW	2	BATHROOM	366.6	1681.9	2167.1	102.3	113.3	198.1	40.513	40.505	40.575	0.07	73	4	1	2	8	0			368.5	1681.3	372.2	1677.3	370.8	1651.2	355.9	1559.1	341.4	1475.5	R	M	['B', 'AE1', 'TH', 'R', 'UW2', 'M']	4	6	[1859.9057173097751, 3674.0066622485533],[366.57403265780675, 1817.556991144343, 2928.90591092209, 4178.854053813889],[357.6896514970016, 1664.341001887651, 2133.5899375558574, 3194.3107164875123, 4313.570086725799],[366.6136098573799, 1681.8984038988442, 2167.1179478241133, 3192.4426933983773, 4301.463842145901]	[407.3254369661245, 1317.7763142049607],[354.0719657960248, 141.1731870450165, 587.9449378742336, 730.8652426018184],[69.49756065034362, 151.53494859373623, 250.1382756413089, 153.724266956334, 138.43558624739165],[102.25173949415921, 113.30512478625, 198.08831246982217, 118.26797606352498, 140.05350323008994]				
AE	1	AND	631.7	1667.1	2660.7	554.0	320.1	452.5	41.169	41.139	41.228	0.089	3	4	4	2	0	0			636.5	1798.9	639.2	1671.1	676.5	1663.6	658.7	1628.0	641.5	1578.3		N	['AE1', 'N']	0	5	[1644.6752832494196, 3101.5830719804444],[1253.0548574279042, 2366.423823923638],[631.7303455937101, 1667.116333269453, 2660.660687695289, 3585.6388734873867],[636.9624838649924, 1558.741322780249, 1967.0248479570464, 2894.987822586963, 3809.7456273620655]	[1107.0800129368251, 1196.4868508148838],[769.0031138792748, 725.5154383600592],[553.9701141473273, 320.0582672526988, 452.50251263469625, 581.290407698125],[514.2618334067394, 1115.6457815098988, 553.7016535466989, 345.89242795239295, 467.89394177782344]				
AY	1	I	744.1	1427.1	2677.3	203.8	104.9	1402.9	41.282	41.259	41.369	0.11	41	0	0	0	0	0		s	744.0	1425.5	719.0	1455.8	646.0	1510.5	518.7	1558.4	443.6	1590.2			['AY1']	0	5	[1369.4967629290734, 2867.3064228736725],[773.3915384640937, 1446.0604858166969, 2883.4409012708493],[744.0936474319444, 1427.1137759989488, 2677.335028844548],[748.1720529055707, 1481.848713095245, 2704.767948725047, 3304.020974066003, 4561.813013968634]	[324.74820962943056, 512.9902107238227],[280.1962964617556, 131.74557260780088, 337.9344219767625],[203.8375808887843, 104.9397961607841, 1402.9267260775066],[321.0381665387861, 85.76173310069433, 184.25020132572834, 662.2349596022401, 460.5138916202795]				
UH	1	COULD	352.8	1844.4	2490.6	67.9	292.6	266.6	41.469	41.459	41.489	0.03	7	1	4	2	6	0			352.8	1844.4	352.8	1844.4	348.4	1828.0	342.2	1803.4	342.2	1803.4	K	D	['K', 'UH1', 'D']	1	5	[2084.2490683841256, 3744.185242798237],[361.17040625519206, 2154.916775563909, 3016.049371025985, 4161.349503007279],[352.7521320997824, 1844.3623193188243, 2490.575758523146, 3502.90795564639, 4415.904643936932],[351.9854362085332, 1669.0501323378846, 2034.7571826527785, 2727.199346940528, 3665.131733558668]	[487.1416867247125, 911.149468490945],[284.0132231643052, 329.37168810069227, 809.4786584776417, 755.354879626523],[67.89140263155659, 292.5956835843087, 266.58279595191976, 471.824615626883, 676.4340129941436],[71.31804993551212, 1626.2511213226164, 326.8713158545978, 349.84278360512866, 353.3820682455241]				
IH	1	BRING	409.3	1707.0	2399.1	57.9	79.9	516.3	41.735	41.718	41.768	0.05	1	4	6	2	8	0			403.7	1689.7	409.3	1707.0	421.0	1732.1	432.3	1756.3	438.5	1791.1	R	NG	['B', 'R', 'IH1', 'NG']	2	5	[1643.0654281120608, 2832.559434908055],[423.6424515472842, 1776.4335355079074, 2832.2869247422886, 3931.654531084915],[409.29205710423383, 1707.0298519964824, 2399.06401709069, 2954.7803593904805, 4275.129940203745],[405.93815427533116, 1691.1524785858264, 2044.2783620607702, 2679.2465591816704, 3048.2134072614786]	[476.9695024525297, 401.33747556025315],[260.284884117731, 114.76102125318457, 170.21998684189762, 1247.9241787044482],[57.90660422920886, 79.87946666014186, 516.3067871439397, 197.85939982412518, 712.4302676774043],[44.547017877896614, 359.88537399755194, 1381.2630027653813, 591.7107494638736, 377.7293701466508]				
AY	1	MY	661.3	1377.0	1778.6	201.6	88.2	1196.1	42.007	41.978	42.038	0.06	41	0	0	0	2	0		m	633.0	1285.4	651.2	1328.3	662.1	1383.3	661.9	1448.3	634.8	1416.0	M		['M', 'AY1']	1	6	[1343.7815679254425, 2896.1728740733697],[1290.4803086765428, 2194.6881327757064, 2994.76095846504],[731.432931184946, 1170.9183737736428, 2636.4470029235367, 3102.3991942922416],[661.3025316936374, 1376.9506791245676, 1778.6359452902386, 2662.3689302274593, 3215.6042092649445, 4712.580595958638]	[179.42986317051836, 284.8320502145816],[235.08352579106176, 1497.6627861047218, 286.8820097619325],[403.0869091455286, 365.65920914655305, 264.2042706408418, 207.96541608522497],[201.6218956314897, 88.18854000790996, 1196.0634767891968, 190.19620879718354, 138.10209609458315, 288.2779346150818]				
IH	1	SLIPPERS	391.1	1504.1	2630.1	41.7	76.8	156.6	42.192	42.179	42.219	0.04	1	1	1	1	8	1			392.1	1504.8	389.9	1502.9	378.7	1486.2	368.1	1463.0	366.1	1458.0	L	P	['S', 'L', 'IH1', 'P', 'ER0', 'Z']	2	5	[920.9654283810871, 2939.2450015209224],[398.2068019615129, 1665.7255666000005, 2909.1750237696133, 3968.638500559651],[391.0946701452378, 1504.1112814779447, 2630.077134572713, 3403.7471133322256],[389.4518558477212, 1501.0270792479819, 2063.4438332606646, 2645.371988840372, 3419.3863101921515, 4516.767770110661]	[1388.5159495001176, 1251.3394523765953],[393.8432179262818, 527.0024568613297, 369.4401674973336, 907.3271591248086],[41.66192134789356, 76.76405918002594, 156.57737200899894, 274.6687692222364],[36.39776810472931, 87.67574550178547, 2866.421373459266, 163.8115221770332, 228.52728794361062, 690.7641160110438]				
ER	0	SLIPPERS	402.1	1704.8	2963.2	118.1	102.6	535.1	42.345	42.318	42.398	0.08	94	3	4	2	1	0			398.8	1678.9	402.0	1707.3	399.1	1736.3	396.7	1740.6	395.4	1727.5	P	Z	['S', 'L', 'IH1', 'P', 'ER0', 'Z']	4	4	[340.7952792142998, 1797.567714752141, 3466.8578619027317],[402.11192173578485, 1704.8147098505362, 2963.2129684491456, 3896.1739435244367],[392.449798662587, 1656.0966501301375, 2348.6166014433943, 3211.586230874558, 4132.284639224916],[394.6554651467518, 1653.5208486079262, 2286.8984007488716, 3008.631521188991, 3834.8468756322504]	[696.7196049992083, 355.7080772871127, 581.1643880068091],[118.12688931676425, 102.59755268031833, 535.054542937328, 852.3850494195431],[47.18923471149101, 112.4368863129359, 925.3576344403003, 544.2309277017382, 870.5706184558202],[50.64514090477295, 105.35996450899651, 701.5070499676924, 1293.8937524390763, 901.9094989529169]				
AE	1	AND	830.6	1695.6	2454.6	395.9	507.0	277.1	42.925	42.898	42.979	0.081	3	4	4	2	0	0			934.8	1781.4	814.4	1680.1	658.8	1441.8	588.5	1694.4	501.5	1782.0		N	['AE1', 'N']	0	6	[1712.2475338834715, 2731.406124986129],[860.2494082432057, 2082.978191357496, 3115.651057366294],[760.1459359488097, 1890.0378059082418, 2671.883715197828, 3599.7367998995383],[830.5818819674579, 1695.574907059058, 2454.6030481423154, 3310.4039031194134, 4337.179395920879]	[1210.7854738565056, 1143.214593821446],[674.8414928886259, 360.54775889306234, 663.4481542255651],[402.92261786138806, 358.45156177690507, 694.1552904465931, 1154.8680513868337],[395.85097027047084, 507.03773880907335, 277.0628008502796, 449.24418058771255, 743.3345009317859]				
OW	1	SHOW	506.0	1447.2	2420.4	106.5	116.8	187.4	43.16	43.148	43.279	0.131	63	0	0	0	5	0			523.4	1281.5	493.1	1181.1	458.1	1134.9	447.0	1167.8	433.4	1251.5	SH		['SH', 'OW1']	1	5	[1054.435311306528, 2605.9572731694134],[981.9293637074135, 2567.471295979033, 3378.072688563061],[505.9993376699967, 1447.1599047003128, 2420.3569881263566, 3332.0144072911876],[502.2323111167165, 1447.0343564749087, 1832.4684442983717, 2458.4505253832567, 3358.414757298921, 4390.122513913508]	[928.2064339870435, 1099.5594544783496],[353.52888325443195, 844.1157248406373, 508.3272895679389],[106.4557718584891, 116.81579437838838, 187.40534161269932, 211.28717370426955],[111.80106419219003, 147.31874134864466, 2126.088745727543, 251.52980476744517, 135.16146458326514, 418.8172519537837]				
AH	0	THEM	471.1	1634.5	2692.4	125.9	158.5	167.8	43.345	43.329	43.378	0.049	6	4	1	2	3	0			447.3	1601.8	456.6	1599.7	463.4	1586.3	453.1	1549.9	433.9	1519.3	DH	M	['DH', 'AH0', 'M']	1	6	[1335.7828513186487],[527.7076138116053, 2091.6121275510804, 3221.4886808159804],[454.9066405005419, 1600.236522342335, 2683.8208423612487, 3427.9420672797573],[471.11106475067527, 1634.5321479642425, 2692.386313848903, 3420.9178390997677]	[2008.2769687555806],[730.030371563061, 809.6842451369647, 356.95098541626413],[87.99605881790428, 190.92204272089307, 245.7742757839027, 203.62450541572682],[125.94629338350116, 158.50702073382848, 167.8349253656174, 145.4880425244226]				
IH	0	TO	337.0	2105.3	2618.7	76.8	227.6	380.7	43.542	43.519	43.589	0.07	1	0	0	0	3	0			330.5	2105.5	338.4	2101.9	344.8	2105.1	343.4	2109.4	334.2	2112.7	T		['T', 'IH0']	1	5	[2119.4462903995827, 2590.287075663247],[336.63415912458714, 2219.994493835001, 2668.6522349227967, 4386.0761838799535],[336.9918255042344, 2105.327990212641, 2618.690895798757, 2870.000276615837, 4479.452278633128],[335.2503501022687, 1459.4530849605821, 2137.163981532828, 2625.5097112516523, 3224.2196651729314, 4496.639602344968]	[1246.9172787274738, 162.93993661514858],[258.0571517265204, 186.12720535216093, 83.39994578113006, 667.5456726987497],[76.75605128052162, 227.64229518857857, 380.71193540101194, 803.5833137642562, 495.6517571851514],[82.6377982545797, 2008.9197091858866, 162.56645893766932, 69.70847735781959, 605.3265639814296, 226.66269938156387]				
UW	1	YOU	368.7	1664.7	2455.4	91.1	224.4	167.4	43.699	43.669	43.759	0.09	82	0	0	0	9	0			374.3	1937.1	377.0	1840.9	373.7	1843.9	369.5	1825.2	427.0	1834.9	Y		['Y', 'UW1']	1	5	[914.550412330276],[376.72786532657915, 1841.9498184050315, 2551.578115046908, 4307.721910085982],[368.6819917336735, 1664.6682527114745, 2455.4286886472187, 3279.316134626748, 4346.839051055631],[366.8644844815241, 1651.8496488569142, 2144.207265854443, 2633.4388144219292, 3739.36624546152]	[1352.0935113331645],[307.9597215284015, 454.9637084082999, 244.0605902728825, 322.2140106812325],[91.06960786829023, 224.36058405894556, 167.44701594007006, 1215.053400419983, 304.4623021559685],[85.32702051002897, 347.5985982127596, 1559.3152890680512, 777.588314886354, 622.1927100512509]				
AE	1	AND	604.9	1906.2	2710.4	168.6	202.5	324.0	44.428	44.378	44.529	0.151	3	4	4	2	0	3			611.4	1819.9	593.9	1910.0	543.8	1968.8	535.6	1964.4	535.2	1910.1		N	['AE1', 'N', 'D']	0	5	[1623.224242207671, 3031.3447528737015],[658.9315931380979, 2138.4866364540935, 3259.531240823963],[604.8701974518879, 1906.2245550863363, 2710.362135131363, 3552.637590839687],[583.3343192397283, 1461.774155964205, 1932.2223792889536, 2741.0319436558243, 3552.402721588176]	[976.2901198998812, 1122.9780485512802],[505.7008829555466, 357.55451425232445, 467.6559067762033],[168.5866796765736, 202.48086511662862, 324.0097298659977, 225.78055869926982],[145.56025898026638, 1776.0396843980207, 389.79404435763615, 254.9095355452426, 165.64043344550467]		Yes	OK changed	MS2
AH	1	UH	578.7	1368.0	1862.7	65.8	105.9	2467.7	44.786	44.679	44.999	0.32	6	0	0	0	0	0			574.5	1386.0	578.5	1365.7	583.6	1374.2	580.4	1396.4	566.2	1378.1			['AH1']	0	6	[997.5958936730972, 2875.1778680734847],[941.3769858910528, 2345.8434521338713, 2963.4557943702025],[581.615721700121, 1369.3853140940669, 2633.1425790474154, 3271.3072931421043],[578.6859745022764, 1367.97450105848, 1862.7126060862115, 2653.5853193514927, 3297.78526023941, 4707.311395357196]	[688.1352568954653, 346.33512057827255],[558.8252931114687, 1643.9153307854049, 420.3174236783992],[62.759746483554096, 83.03472045658744, 99.60991744590756, 164.70553646482693],[65.82255564479371, 105.90348777563796, 2467.6729055534875, 88.74832999480023, 113.71567259930438, 338.02317505385975]				
AA	1	OBVIOUSLY	836.5	1447.6	2505.9	112.6	118.3	1032.7	45.409	45.359	45.508	0.149	5	1	1	2	0	5			728.9	1446.9	835.4	1446.6	820.0	1411.8	771.6	1376.8	712.6	1347.6		B	['AA1', 'B', 'V', 'IY0', 'AH0', 'S', 'L', 'IY0']	0	6	[1238.1058364063472, 2767.164158571666],[1033.8785632424376, 1602.3353936659184, 2806.8137229859503],[855.6916418674416, 1468.5398107540004, 2700.0176604045287, 3153.503974778189, 4726.707182380463],[836.4513921306873, 1447.6443188342355, 2505.8956154560037, 2879.8553244916693, 3506.445862163395]	[279.8497235841963, 324.6124467127253],[344.99440492193264, 858.0004802945855, 143.70153898376907],[138.99552670391614, 135.1655475029654, 191.10949304041796, 661.5987563444775, 440.00929314954976],[112.61738594836015, 118.28338879623237, 1032.6706271373143, 760.4640668157627, 1179.316442600516]				
IY	0	OBVIOUSLY	379.5	1683.4	2504.6	91.7	173.0	175.3	45.569	45.559	45.588	0.029	11	0	0	0	1	2			379.5	1683.4	379.5	1683.4	380.5	1693.2	383.7	1722.1	383.7	1722.1	V	AH0	['AA1', 'B', 'V', 'IY0', 'AH0', 'S', 'L', 'IY0']	3	5	[1697.7219000540833, 3204.619898699394],[658.1338445488738, 2156.10623557855],[379.4831597030282, 1683.4380320519358, 2504.56890715178, 3364.514810942125, 4380.482124334438],[372.86014597881285, 1622.6239465807507, 2239.819933438525, 2741.367800391976, 3432.4347202725094, 4421.500066432664]	[886.2663605130001, 1174.6811784563952],[961.5377938998979, 642.5040984467182],[91.67727142128548, 173.01213380908013, 175.29544810344024, 255.86872414795832, 335.89953810125996],[51.13474241791556, 232.93728344771236, 728.4881715881146, 913.7012151949041, 224.9441540595343, 221.8936818394778]				
AH	0	OBVIOUSLY	382.3	1866.7	2728.2	46.3	195.6	150.9	45.598	45.588	45.619	0.031	6	3	4	1	0	1			382.3	1866.7	382.3	1866.7	381.1	1873.6	379.9	1892.5	379.9	1892.5	IY0	S	['AA1', 'B', 'V', 'IY0', 'AH0', 'S', 'L', 'IY0']	4	5	[763.399566104545, 2897.287888393862],[391.79263427692894, 2253.2205749721393, 2999.2866213080138, 4142.281097401164],[382.3137278582178, 1866.6628667827563, 2728.2276625445993, 3666.4388084606885, 4249.646030067522],[380.43227351875345, 1840.5643155294663, 2500.170832209149, 3092.4823347597903, 3830.3559406976397]	[903.1397638312138, 357.61901294877555],[320.06501124227077, 572.2316511830252, 572.6407362642116, 275.4712861398993],[46.300064691632414, 195.62452877364294, 150.94035685349337, 497.4828003927252, 359.97238053261543],[36.05547451224336, 222.6678341687179, 1376.3956092948563, 402.3998750556422, 462.3501372349368]				
IY	0	OBVIOUSLY	315.0	2076.2	2715.0	51.9	117.4	367.5	45.776	45.729	45.869	0.14	12	0	0	0	8	0			329.8	2018.4	314.1	2077.5	309.1	2091.1	311.9	2124.8	316.4	2031.2	L		['AA1', 'B', 'V', 'IY0', 'AH0', 'S', 'L', 'IY0']	7	5	[2172.0674099687767, 3385.3980878612465],[282.03589475148533, 2229.7775261100574, 3365.4074033749675],[314.9687428038159, 2076.2184425107152, 2714.969544732963, 3490.271084315592],[315.3929534270851, 1959.1433341729667, 2413.314012235253, 3154.314883878408]	[520.9526790039921, 570.9424823506283],[433.7797056551777, 169.85289799902458, 236.60185166134838],[51.90031530520943, 117.41893786982624, 367.4900555565201, 158.49747388058077],[53.61360921360353, 2383.4553876671544, 489.38269346398005, 239.8977317296294]				
EH	1	WHEN	504.8	1366.6	2062.2	197.6	124.6	1296.6	45.972	45.959	45.999	0.04	2	4	4	2	9	0			501.9	1363.8	507.5	1368.8	516.0	1370.8	510.4	1352.2	502.7	1342.9	W	N	['W', 'EH1', 'N']	1	6	[1351.54928987438, 3257.738476877415],[1319.252278765944, 2417.1178469749134, 3362.622375447655],[536.2325628042073, 1395.8725441077029, 2664.156667573448, 3354.7859084114966],[504.8321420761034, 1366.5910318615424, 2062.171027019411, 2807.950427038198, 3377.3458295151695]	[385.6615456886639, 253.05474135570282],[373.2295653970995, 2187.185192207448, 700.3969970100899],[311.18284988068706, 124.33238986991604, 496.1708182647064, 153.21582747347006],[197.60783397698913, 124.56468752246752, 1296.59773861306, 530.6841146576612, 146.89839345794394]				
AY	1	I	715.6	1297.7	1988.0	234.8	189.3	730.1	46.074	46.039	46.128	0.089	41	0	0	0	0	0			653.9	1192.5	713.0	1265.1	703.4	1395.9	661.2	1613.4	587.0	1753.0			['AY1']	0	6	[1230.9473147905367, 2313.847029539697, 3162.1143470168436],[1181.2740290479148, 2468.3859849822397, 3420.1375955252483],[850.2080003797554, 1392.8578050343096, 2693.4515634874965, 3378.639183746717],[715.6323670821025, 1297.6521553338664, 1988.0308720494595, 2826.110041486135, 3432.9218420714765]	[549.1230609672042, 2605.468222057746, 469.3971129570347],[328.73554764613004, 822.8861702801858, 260.972378693499],[384.4453372451129, 297.71979413820685, 373.07885443195045, 210.39135591978385],[234.78675445043757, 189.27235772632864, 730.0613315611765, 285.5794488045447, 166.35390997639956]				
EY	1	CAME	486.1	2136.1	3022.6	168.9	105.5	267.1	46.26	46.229	46.298	0.069	21	4	1	2	6	0			466.2	2152.4	482.8	2140.6	485.3	2134.3	471.5	2113.2	457.9	2033.7	K	M	['K', 'EY1', 'M']	1	5	[2212.2604282313096, 3082.6790238454814],[492.68134132218984, 2182.1728530720584, 3060.8462554817356, 4515.004400750327],[486.1446886505292, 2136.06001304238, 3022.5656080611207, 3212.528996602139],[468.01539490729664, 1432.2368474694742, 2154.734252580546, 2965.2760963175865, 3489.299906288061, 4614.329236899106]	[665.9128155691142, 789.5526569799482],[387.2446045241684, 123.21190311337479, 141.73458783581455, 651.9650843786253],[168.8908903373797, 105.53615481495451, 267.05502903982955, 1716.0099894990976],[147.0429986248526, 1315.5908507375, 75.72441210062196, 146.65991397726268, 444.7928386358555, 268.5230687009535]				
