signal s0102.sd
type 0
comment created using xlabel Fri Sep 15 22:29:23 2006
comment created using xlabel Thu Apr  4 15:45:36 2002
color 122
font -misc-*-bold-*-*-*-15-*-*-*-*-*-*-*
separator ;
nfields 1
#
  355.652346  122 <IVER_overlap-end>
  358.434444  122 <VOICE=modal>
  358.865622  122 <VOICE=creaky>
  367.086912  122 <VOICE=modal>
  367.408172  122 <VOICE=breathy>
  395.097801  122 <VOICE=modal>
  395.270782  122 <VOICE=creaky>
  400.481292  122 <VOICE=modal>
  400.664575  122 <VOICE=creaky>
  401.782807  122 <VOICE=modal>
  401.846647  122 <VOICE=creaky>
  403.179038  122 <VOICE=modal>
  403.302600  122 <VOICE=creaky>
  407.538676  122 <VOICE=modal>
  407.647822  122 <VOICE=creaky>
  408.784588  122 <VOICE=modal>
  408.897853  122 <VOICE=creaky>
  414.182235  122 <voiceless-vowel>
  415.246917  122 <VOICE=modal>
  415.844126  122 <VOICE=creaky>
  417.221727  122 <VOICE=modal>
  417.312339  122 <VOICE=creaky>
  418.535598  122 <VOICE=modal>
  418.663278  122 <VOICE=creaky>
  420.920324  122 <VOICE=modal>
  421.573132  122 <VOICE=creaky>
  424.515942  122 <VOICE=modal>
  424.651860  122 <VOICE=creaky>
  436.924636  122 <voiceless-vowel>
  440.550023  122 <VOICE=modal>
  440.563505  122 <CONF=L>
  440.632397  122 <VOICE=creaky>
  440.916589  122 <VOICE=modal>
  441.120465  122 <VOICE=creaky>
  441.526148  122 <VOICE=modal>
  441.750618  122 <VOICE=creaky>
  442.131599  122 <VOICE=modal>
  442.292229  122 <VOICE=creaky>
  444.475136  122 <VOICE=modal>
  444.565748  122 <VOICE=creaky>
  445.173259  122 <VOICE=modal>
  445.253574  122 <VOICE=creaky>
  456.813925  122 <VOICE=modal>
  457.029128  122 <VOICE=creaky>
  461.199305  122 <VOICE=modal>
  462.483309  122 <VOICE=creaky>
  464.195455  122 <VOICE=modal>
  464.265473  122 <VOICE=creaky>
  466.690557  122 <VOICE=modal>
  466.883107  122 <VOICE=creaky>
  470.878204  122 <IVER_overlap-start>
  471.073875  122 <IVER_overlap-end>
  471.610335  122 <VOICE=modal>
  472.017058  122 <VOICE=creaky>
  472.017058  122 <IVER_overlap-start>
  472.332140  122 <IVER_overlap-end>
  487.660931  122 <IVER_overlap-start>
  488.862044  122 <IVER_overlap-end>
  494.675497  122 <VOICE=modal>
  495.070894  122 <VOICE=whisper>
  508.712045  122 <VOICE=modal>
  509.021979  122 <VOICE=creaky>
  510.685227  122 <VOICE=modal>
  510.767601  122 <VOICE=creaky>
  511.684002  122 <VOICE=modal>
  513.102899  122 <VOICE=breathy>
  516.204984  122 <voiceless-vowel>
  516.436977  122 <IVER_overlap-start>
  517.662295  122 <IVER_overlap-end>
  533.695593  122 <VOICE=modal>
  534.213949  122 <VOICE=creaky>
  535.248741  122 <VOICE=modal>
  535.519547  122 <VOICE=creaky>
  536.795687  122 <VOICE=modal>
  537.419672  122 <VOICE=creaky>
  539.361635  122 <VOICE=modal>
  541.503983  122 <VOICE=breathy>
  544.580746  122 <voiceless-vowel>
  544.917757  122 <VOICE=modal>
  545.162821  122 <VOICE=creaky>
  545.374935  122 <VOICE=modal>
  545.438775  122 <VOICE=creaky>
  546.933857  122 <VOICE=modal>
  547.036825  122 <VOICE=creaky>
  548.836692  122 <VOICE=modal>
  549.044687  122 <VOICE=creaky>
  549.236207  122 <VOICE=modal>
  549.427728  122 <VOICE=creaky>
